,Genome,time_create,mother,age
149,Up Eat Left Chemo Chemo Down Down Left Foto Right Left Left Up Foto Up Up Eat Right Up Chemo Down Foto Right Chemo Left,0,-1,5
150,Right Up Foto Up Eat Down Eat Down Left Eat Down Left Up Left Left Chemo Foto Chemo Right Up Left Right Down Left Foto,0,-1,1
151,Foto Foto Chemo Left Right Down Right Down Down Chemo Down Foto Left Up Left Right Eat Right Eat Foto Eat Right Foto Left Chemo,0,-1,16
152,Chemo Down Right Down Right Chemo Left Foto Right Right Down Up Left Foto Right Chemo Eat Down Left Right Foto Left Eat Eat Foto,0,-1,5
153,Left Down Foto Down Left Right Eat Eat Foto Eat Chemo Foto Chemo Left Up Up Chemo Eat Left Right Left Foto Eat Foto Chemo,0,-1,16
154,Left Eat Foto Right Left Foto Chemo Down Foto Foto Right Chemo Left Right Down Down Right Eat Up Down Eat Up Foto Left Foto,0,-1,4
155,Chemo Chemo Foto Foto Left Chemo Foto Left Right Eat Right Up Down Down Foto Down Down Down Right Down Up Chemo Down Foto Left,0,-1,8
156,Foto Left Right Chemo Eat Eat Foto Down Foto Chemo Right Eat Right Down Up Right Chemo Up Chemo Eat Foto Down Eat Chemo Down,0,-1,14
157,Down Left Left Eat Eat Down Down Foto Chemo Chemo Eat Chemo Up Right Down Eat Up Foto Up Up Down Right Down Left Chemo,0,-1,5
158,Left Left Foto Foto Down Foto Down Up Foto Eat Eat Foto Chemo Eat Eat Left Down Left Down Foto Foto Left Eat Chemo Chemo,0,-1,24
159,Foto Eat Foto Chemo Left Left Chemo Foto Down Right Up Right Foto Eat Up Chemo Left Left Down Foto Eat Left Foto Down Up,0,-1,7
160,Up Up Up Eat Eat Chemo Right Right Down Chemo Left Foto Up Down Foto Down Foto Up Eat Chemo Left Left Down Eat Right,0,-1,6
161,Right Right Foto Left Up Left Left Foto Foto Down Left Eat Foto Chemo Chemo Chemo Right Foto Chemo Right Foto Eat Right Down Eat,0,-1,226
162,Right Right Eat Down Up Left Eat Left Chemo Chemo Chemo Up Chemo Up Right Down Eat Eat Right Right Chemo Eat Up Up Up,0,-1,21
163,Up Left Down Chemo Foto Right Eat Right Up Right Foto Right Left Foto Up Up Eat Eat Foto Right Down Foto Down Foto Right,0,-1,6
164,Chemo Eat Right Foto Chemo Chemo Right Chemo Down Chemo Up Foto Right Up Right Left Chemo Foto Down Down Down Down Up Left Down,0,-1,6
165,Up Down Left Right Foto Down Right Foto Up Foto Down Down Right Right Foto Eat Chemo Left Foto Right Eat Right Up Chemo Foto,0,-1,6
166,Left Left Up Down Eat Right Chemo Foto Down Down Left Down Eat Down Eat Down Eat Foto Down Eat Right Chemo Eat Chemo Foto,0,-1,5
167,Chemo Right Chemo Foto Right Left Down Foto Right Foto Eat Right Left Chemo Left Eat Chemo Eat Right Up Right Foto Left Left Eat,0,-1,5
168,Eat Down Chemo Foto Right Right Right Chemo Chemo Eat Up Left Chemo Foto Left Chemo Eat Foto Foto Foto Right Chemo Foto Right Down,0,-1,100
169,Up Eat Right Eat Foto Eat Down Down Down Down Right Down Up Chemo Chemo Left Up Up Chemo Chemo Foto Up Down Eat Chemo,0,-1,18
170,Up Chemo Foto Up Up Down Left Eat Chemo Right Down Eat Eat Up Down Down Chemo Right Down Up Down Right Down Chemo Up,0,-1,5
171,Foto Up Down Chemo Right Up Eat Right Foto Right Chemo Foto Foto Right Up Eat Foto Eat Right Down Chemo Eat Down Foto Right,0,-1,10
172,Chemo Right Down Down Up Left Right Up Up Right Up Foto Down Down Right Foto Eat Up Right Eat Right Up Foto Foto Left,0,-1,4
173,Chemo Eat Right Foto Right Up Up Down Down Right Chemo Eat Down Left Up Chemo Down Up Up Down Foto Right Foto Left Up,0,-1,5
174,Foto Left Foto Chemo Down Up Eat Foto Foto Down Eat Up Right Foto Foto Eat Eat Chemo Eat Up Up Down Up Left Right,0,-1,8
175,Eat Up Up Foto Right Down Right Chemo Eat Down Foto Up Eat Chemo Foto Left Chemo Foto Chemo Foto Left Foto Left Left Right,0,-1,11
176,Eat Foto Up Eat Chemo Foto Chemo Chemo Eat Down Right Left Down Left Eat Chemo Left Foto Foto Up Down Right Chemo Right Left,0,-1,7
177,Foto Eat Foto Chemo Foto Chemo Chemo Foto Right Left Foto Chemo Eat Eat Right Foto Up Right Up Chemo Down Up Right Right Foto,0,-1,26
178,Up Up Up Right Chemo Down Chemo Up Chemo Foto Left Up Down Left Down Left Up Left Eat Chemo Right Down Left Down Up,0,-1,5
179,Chemo Eat Down Up Eat Chemo Foto Up Up Chemo Foto Foto Eat Eat Eat Foto Down Right Down Left Chemo Eat Down Foto Right,0,-1,70
180,Up Chemo Chemo Eat Right Right Left Chemo Chemo Eat Chemo Down Eat Up Foto Eat Right Left Chemo Chemo Foto Chemo Chemo Eat Eat,0,-1,21
181,Eat Down Down Right Left Right Chemo Chemo Right Right Down Foto Chemo Chemo Up Up Right Up Down Eat Foto Up Right Foto Chemo,0,-1,115
182,Left Foto Chemo Eat Left Right Foto Up Foto Up Down Chemo Up Left Up Eat Up Up Right Eat Up Chemo Eat Down Down,0,-1,30
183,Right Left Up Eat Right Foto Left Right Eat Eat Up Left Down Left Right Chemo Left Left Eat Eat Right Foto Eat Down Chemo,0,-1,12
184,Eat Chemo Foto Left Eat Up Down Chemo Up Foto Right Foto Eat Up Eat Up Left Foto Left Chemo Up Left Left Left Chemo,0,-1,13
185,Right Right Right Eat Down Chemo Left Eat Foto Foto Eat Left Left Down Left Right Eat Foto Left Right Eat Down Down Down Down,0,-1,5
186,Chemo Right Chemo Left Up Right Down Chemo Chemo Down Chemo Foto Down Right Chemo Foto Chemo Up Right Chemo Eat Right Foto Right Foto,0,-1,52
